"","Group","value","std","r","Min","Max","groups","Type","Time","Element"
"56","P2",1340.508,309.939077280925,3,993.973499999998,1591.2195,"a","stem",1,"exp2"
"57","CK",407.346333333333,80.889832731902,3,326.803750000005,488.578999999996,"a","leaf",9,"exp2"
"58","N1",407.346333333337,50.1610949032809,3,365.25125,462.848750000004,"a","leaf",9,"exp2"
"59","N2",370.081833333332,26.3372529251918,3,340.408250000005,390.685749999993,"a","leaf",9,"exp2"
"60","NP1",367.61725,5.43729759392874,2,363.772500000003,371.461999999996,"a","leaf",9,"exp2"
"61","NP2",355.885833333334,46.4547219776536,3,322.958999999993,409.022250000003,"a","leaf",9,"exp2"
"62","P1",400.445500000002,37.0006772133942,3,358.449000000005,428.246,"a","leaf",9,"exp2"
"63","P2",383.587749999996,27.9839518932327,3,359.631999999992,414.345750000001,"a","leaf",9,"exp2"
"64","CK",257.795416666668,42.761536485292,3,219.150750000004,303.735249999996,"a","stem",9,"exp2"
"65","N1",349.477916666665,117.645444270678,3,270.906999999999,484.734249999995,"a","stem",9,"exp2"
"66","N2",307.481416666665,43.9886080098669,3,273.864500000003,357.265999999997,"a","stem",9,"exp2"
"67","NP1",297.721666666663,39.9704055218737,3,256.711000000001,336.563499999993,"a","stem",9,"exp2"
"68","NP2",288.55341666666,8.83462889831009,3,278.596499999992,295.454249999994,"a","stem",9,"exp2"
"69","P1",326.015083333334,14.7470254422974,3,309.946000000003,338.929499999998,"a","stem",9,"exp2"
"70","P2",279.976666666666,15.717473223162,3,262.034499999999,291.313749999993,"a","stem",9,"exp2"
"71","CK",632.735999999998,74.210149578746,2,580.261499999998,685.210499999997,"c","leaf",15,"exp2"
"72","N1",1093.3455,187.068057330091,3,897.389999999989,1270.03500000001,"ab","leaf",15,"exp2"
"73","N2",976.735500000002,106.742164638671,3,854.802000000007,1053.2925,"abc","leaf",15,"exp2"
"74","NP1",1215.279,78.1984841493021,3,1157.481,1304.25749999999,"a","leaf",15,"exp2"
